,cw_Very worried,cw_Somewhat worried,cw_Not very worried,cw_Not at all worried,cw_Refused,hp_A great deal,hp_A moderate amount,hp_Only a little,hp_Not at all,hp_Don’t know,hp_Refused
Benin,61.8209786183194,13.1931153437592,8.70058605480605,13.4997908786321,2.78552910448327,40.0624914606151,17.4284062382168,9.66377422694051,3.52223656565602,26.0709230138232,3.25216849474828
Bolivia (Plurinational State of),65.9866033136943,23.0018708471531,6.59343384990054,2.89513911075109,1.522952878501,49.7799541675731,25.2165880477141,9.46210198413961,3.46746885519073,10.8470396544721,1.2268472909104
Bosnia and Herzegovina,31.1630913291954,43.0410090469676,18.5518375553717,6.89891464622521,0.345147422240136,17.0730434075162,34.9355422609299,10.8047841765862,8.27265347222864,28.7048870105082,0.209089672230886
Botswana,60.7142049275152,16.262836671457,12.6659127839481,9.19946535845212,1.15758025862762,47.1186307225032,21.9230916315326,11.8951978930339,2.72831317796472,14.8665192248432,1.46824735012234
Brazil,59.1550895935744,25.6704239090347,10.6653775278751,3.72979246328121,0.779316506234542,54.5031467730459,23.4793656020276,9.60841695689913,4.91080167546031,7.30904947521076,0.189219517356301
Bulgaria,24.543100336412,52.3931267894654,15.22094876788,7.63862423897515,0.204199867267473,18.2149665395586,34.2170467970725,16.5866011193113,9.08392572865112,21.547684746607,0.349775068799525
Burkina Faso,68.0842427728836,15.4857505551179,6.66446855317135,5.88886577891842,3.87667233990872,44.5347923224625,19.3230612268494,9.07099240563678,4.55351089640602,18.8353995193344,3.68224362931088
Cambodia,61.4505060778676,21.6569759111519,6.35727928038601,7.52119178594139,3.01404694465307,48.7445490613565,23.3381971495352,9.49277960588856,3.91969716656897,11.4351248059446,3.06965221070628
Cameroon,54.5355406783722,16.4293360277974,14.1567504205531,11.8464674983777,3.03190537489969,42.0562960385354,23.4061093517489,7.59381828133797,3.43748353452574,21.4700358664537,2.03625692739824
Canada,32.9701097470173,43.0256937478272,16.1389662412625,7.82493571601916,0.0402945478737986,21.5685189598218,37.0628807024148,20.4104889564723,10.622710274797,10.3354011064941,
Caribbean,42.1699463702968,33.9173121545667,14.9228430728852,8.23411554188184,0.75578286036938,33.9287439861513,31.7568595550137,10.2194603300187,4.50502581166771,17.8734557332206,1.71645458392805
Chile,69.0156141016788,23.6667448021255,5.12335930552713,1.93982732520628,0.254454465462294,60.8253194341387,19.5989985909016,5.68247073782405,3.00215883709691,10.1423915507139,0.748660849324802
Colombia,66.8302897784278,23.7508318432139,6.01042858808566,2.2409956913056,1.16745409896698,57.4311675941112,20.2864194701711,9.7429841529175,2.4421064203995,9.65223974506346,0.445082617337257
Congo (Democratic Republic of the),49.9691494312551,14.4165564851501,12.1690375252333,17.9325429012353,5.51271365712617,40.258395197832,22.1071487148238,2.67810999601689,10.9281546386767,19.5775880087199,4.45060344393065
Costa Rica,63.9125226918638,27.7105500405907,5.59754977213491,2.3226359194429,0.456741575967713,58.4872594143307,22.9021676891082,10.0224245664028,2.04153334128562,6.46899147025582,0.0776235186168991
Cote d'Ivoire,68.0051101502852,14.2310119045914,8.12959204816969,7.15337035565283,2.48091554130091,51.2288025463957,14.666619810343,9.36233282658313,2.2985251347225,19.0389811686422,3.40473851331339
Croatia,39.8376671800291,41.6348042225004,12.0348487249487,6.17895811110267,0.313721761419226,16.1506711201515,37.799540161259,18.5979300628194,6.05365196596326,20.7638180747486,0.634388615058139
Cyprus,35.5853053170805,37.5189634912876,15.8841311242525,9.58062798333821,1.43097208404122,24.4604180128444,31.8363045707166,15.6140670321352,7.98481468666843,19.0286603884332,1.07573530920224
Czechia,13.2636961456225,49.7777161865811,25.5731764354603,11.0715771843091,0.313834048026922,3.13540522352975,23.7920711217656,33.7412773933831,17.6157851960767,21.549320647472,0.166140417772944
Denmark,20.7452009048342,50.9918018864497,23.7411255375703,4.40540779553068,0.11646387561504,7.87864974326709,33.2252128203386,37.9045597530953,11.0999238489347,9.72874132126419,0.162912513100143
Dominican Republic,55.0889994595185,27.864817721489,10.5286426994693,5.76718707446384,0.750353045059319,42.2162066307664,17.91964339822,17.3069075639661,7.20746086668335,13.5501039045091,1.79967763585492
Ecuador,61.8446090008127,29.1400028634854,6.21310424036203,2.55536428230833,0.246919613031578,51.5347134352213,26.7924971868233,12.0629444423172,3.40053818808225,5.14283931362899,1.06646743392694
Egypt,21.6434395414568,35.7591014357517,17.5412960357723,22.4513206833837,2.60484230363552,22.1431895753995,18.3501707301476,16.7973159426009,8.9147402586969,32.4554080953499,1.33917539780519
El Salvador,60.0445052685982,28.3490819406147,6.75693952243527,3.50156452598756,1.34790874236434,58.5850945880183,20.4469203501837,12.8209089733684,2.89740623328995,4.90459983010918,0.345070025030392
Finland,24.9542377961442,45.1786162606819,19.3517528325811,10.4777177599936,0.0376753505992573,6.16718006398672,24.9848285157956,38.1235850730452,16.8201363132531,13.9042700339194,
France,45.6318881466065,39.8540325213864,9.26759337396635,5.11810914443914,0.128376813601543,31.0996044242187,39.5699795091267,15.1708012302904,4.36927159117494,9.52370737454089,0.26663587064845
Germany,34.9950042948047,40.6148762578405,16.6883893123377,7.51247238916682,0.18925774585028,22.6639432138734,37.465193054145,22.045441259137,8.32452775992625,9.31627637816631,0.184618334752008
Ghana,51.850240515036,17.6797903520457,14.325671606119,14.3912311317132,1.75306639508614,39.4034416374324,22.2493800495186,13.7425221711389,2.41528477353486,19.2555898872231,2.93378148115214
Greece,56.1094905563253,30.0786582647741,8.7801563325419,4.95041058756161,0.0812842587970308,20.9439292474264,46.3674758116613,14.6784335239024,5.62934253165181,11.8159691611529,0.564849724205175
Guatemala,56.8681333071747,24.9147015321716,11.1358957620351,5.52636387654942,1.55490552206914,53.0754310779105,19.9534361058534,12.7016934234138,4.33580362385461,9.45334848980852,0.480287279159148
Haiti,48.8679156236048,18.4703598672545,15.5599987187561,15.0171156717949,2.08461011858969,26.7115410787299,17.8712965192686,12.0889123972233,6.79918651143423,33.4192090994453,3.10985439389875
Honduras,58.7220686750408,21.2794270741726,9.15437354251515,7.9639598470613,2.88017086121014,56.2659848881973,16.1403796859787,10.9562940567623,4.57170994513191,11.4932982413265,0.572333182603277
Hong Kong,15.5818691138315,52.7939884542333,24.2366533749969,6.99613127675185,0.391357780186495,34.2529410173351,32.4181141043436,14.6449908275797,6.36017088255178,11.2190683683676,1.1047147998222
Hungary,34.7277851378182,51.9162259085111,10.73412956444,2.2292312237262,0.392628165504499,34.8463377340038,36.5913004246147,11.8715251373444,4.01042057461851,12.5799533958696,0.100462733548887
India,57.8226854990139,26.106643258692,8.99886588088076,6.48488181939979,0.586923542013526,49.6708456993931,20.8828529494345,10.8564654607621,4.30064402926002,12.8396735427684,1.44951831838187
Indonesia,42.6760049994753,31.9774565929602,17.8877720859323,5.16651291716478,2.29225340446746,18.6822494346558,39.8172100182399,16.087124702569,5.30163020710827,18.1615737644918,1.95021187293515
Iraq,15.6093393118039,34.6380519294175,21.8112066731624,26.8411755180755,1.10022656754071,18.5904614567347,21.0511247362886,18.5373275981165,12.8923979970893,27.852968415194,1.07571979657702
Ireland,24.536925050233,52.4273283936061,14.6036589338596,8.26723274316818,0.164854879133133,15.9052668615255,41.15562815292,21.3664418865978,10.0583320521382,11.146944385394,0.367386661424544
Israel,31.8036519496718,38.1854916496048,18.3562139529223,11.4689699820777,0.185672465723408,17.8454032246828,34.2293646495327,18.7291535057697,9.67318840154675,19.282556047393,0.240334171074979
Italy,37.9627577606547,47.8025813927332,10.9910951430525,2.92363809611932,0.319927607440256,22.7784267186574,43.0385721824397,15.2919112470752,3.89794906320949,14.3334287158729,0.659712072745242
Jamaica,38.2574849776421,36.6793799360342,14.8014805701723,10.2230643248538,0.0385901912975727,40.6322486614488,12.7352689149494,15.8446029433337,3.3647077801824,27.3141196509205,0.109052049165268
Japan,34.9929493167365,53.0347909480491,9.07963223150103,2.55133486921826,0.341292634495128,33.0843972838924,42.8417669579231,15.5154610248214,2.78778620978019,5.70243055081275,0.0681579727701118
Jordan,15.1342611388815,32.8981671232127,25.0942120360723,25.8499945936873,1.02336510814616,14.9662196886133,18.6781417918121,16.6498309200154,18.2475879532654,30.6302206555007,0.827998990793122
Kenya,57.2523927755479,18.2327923161871,13.4248091431967,10.3750315916911,0.714974173377068,48.8624144781046,22.4156989347703,9.62989823937409,7.5316064632234,10.1784749040887,1.38190698043896
Kosovo,28.4947825342836,35.1268055449181,21.4815855571708,14.6241676179691,0.272658745658371,22.0480557985839,29.1504764708898,7.07454068478839,4.26403449416073,36.7811015313425,0.681791020234722
Kuwait,34.6041959424169,24.7467787705984,21.1019692900745,17.663372620395,1.88368337651527,18.7062951298693,22.416327461759,19.868974436823,9.92411232099672,27.3633005867385,1.72099006381354
Lao People's Democratic Republic,35.9173731617005,36.6286644203211,16.4060583431515,9.13348536075435,1.91441871407259,32.6436960289676,29.5588089996682,13.4540959701437,5.33745007216706,14.2907720302538,4.71517689879959
Lebanon,17.7810342630847,37.2731253472403,21.7669883749942,21.8181443925069,1.36070762217391,12.8127212121062,23.7113680549589,19.6562741859008,13.5265433794211,29.3479045011064,0.945188666506485
Libya,17.5349004847171,35.6829473622109,19.647052759827,25.5758383303342,1.55926106291068,18.7170630800357,18.1846625248312,18.1553985485091,10.5751618045714,34.097059701615,0.270654340437617
Lithuania,26.5812305739387,52.4769505075474,17.0093294812971,3.7124355427537,0.220053894463147,17.063268450958,33.2300084390114,24.3591956363727,7.47953459281851,17.5743935077281,0.293599373111246
Malawi,79.7228288225957,9.75460662706111,3.83335795855771,4.87635332047244,1.81285327131299,61.8351638295884,19.014165074561,4.9482487700215,1.3262428027755,10.7421786067916,2.134000916262
Malaysia,34.9561482614837,44.0571139028143,14.7733797536834,5.52126923661824,0.692088845400291,29.4266622318956,38.5312488289497,11.4782676421604,3.02356802506855,15.6840790989677,1.85617417295805
Mexico,63.5650424123477,31.0705272630692,3.8445001259647,1.11736159148537,0.402568607132987,58.5941912668866,26.2983919867906,6.13331924587361,1.07002945743125,7.60398515644102,0.300082886576939
Morocco,39.9174906825325,27.8535175830398,14.1245112272505,14.461872434309,3.64260807286819,31.1946115341067,25.8645726941487,8.50545824740003,8.86518706362036,22.6050847563186,2.96508570440558
Mozambique,63.5944550566767,10.0833237879818,14.4963236062485,8.33606398260943,3.48983356648352,44.579112882367,18.1777130241196,12.0958520105577,2.78800822882377,20.7207962103034,1.63851764382847
Nepal,50.9362448969789,28.2212923512359,11.2816261850983,7.4194955986629,2.14134096802404,44.6965199810177,22.4034194774249,15.3228443328038,5.74666776452426,9.96665851768372,1.8638899265457
Netherlands,12.7973658972276,45.6514874874452,31.6782423191384,9.72601288121233,0.146891414976508,7.40405041980213,25.3340764424764,44.5707218561902,9.50933478700521,13.1305461076221,0.0512703869039502
New Zealand,28.4076223286293,44.4421766238972,16.7831146694386,9.92331279756151,0.443773580473476,20.6426776479292,32.8078034719884,23.12760687778,10.7777066275908,11.9190227703034,0.725182604408181
Nicaragua,60.1636776966025,29.3529904534241,6.83773578623538,3.19085341321295,0.454742650525067,54.9353053170809,18.1047010971603,17.4381113551073,2.04831835826865,6.18362804006765,1.28993583231519
